Ref,Val,Package,PosX,PosY,Rot,Side
"BFAST1","Button_DPDT_Orange_Latching","Button_LED_PB61303",-7.797800,-93.052900,180.000000,bottom
"BMUTE1","Button_DPDT_Orange_Latching","Button_LED_PB61303",-7.797800,-104.990900,180.000000,bottom
"J1-OUT8","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-104.648000,0.000000,bottom
"J2-OUT7","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-92.265500,0.000000,bottom
"J3-OUT6","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-79.883000,0.000000,bottom
"J4-OUT5","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-67.500500,0.000000,bottom
"J5-OUT4","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-55.118000,0.000000,bottom
"J6-OUT3","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-42.735500,0.000000,bottom
"J7-OUT2","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-30.353000,0.000000,bottom
"J8-OUT1","JACK-MONO-SWB","EighthInch_PJ398SM",-51.308000,-17.970500,0.000000,bottom
"J9-CLK_IN1","JCLK_IN","EighthInch_PJ398SM",-51.308000,-5.588000,0.000000,bottom
"JFAST1","3.5mm_Stereo_SymSmall_0.05","EighthInch_PJ398SM",-31.292800,-85.229700,180.000000,bottom
"JMUTE1","3.5mm_Stereo_SymSmall_0.05","EighthInch_PJ398SM",-31.292800,-97.929700,180.000000,bottom
"JPW1","JPW","EighthInch_PJ398SM",-31.292800,-72.529700,180.000000,bottom
"JRESYNC1","JRESYNC","EighthInch_PJ398SM",-31.292800,-9.029700,180.000000,bottom
"JROTATE1","JROTATE","EighthInch_PJ398SM",-31.292800,-21.729700,180.000000,bottom
"JSHUFFLE1","JSHUFFLE","EighthInch_PJ398SM",-31.292800,-47.129700,180.000000,bottom
"JSKIP1","JSKIP","EighthInch_PJ398SM",-31.292800,-59.829700,180.000000,bottom
"JSLIP1","JSLIP","EighthInch_PJ398SM",-31.292800,-34.429700,180.000000,bottom
"LED1","BLUE","LED_PLCC-4",-40.317420,-104.648000,-90.000000,bottom
"LED2","GREEN","LED_PLCC-4",-40.317420,-92.265500,-90.000000,bottom
"LED3","GREEN","LED_PLCC-4",-40.317420,-79.883000,-90.000000,bottom
"LED4","GREEN","LED_PLCC-4",-40.317420,-67.500500,-90.000000,bottom
"LED5","GREEN","LED_PLCC-4",-40.317420,-55.118000,-90.000000,bottom
"LED6","GREEN","LED_PLCC-4",-40.317420,-42.735500,-90.000000,bottom
"LED7","BLUE","LED_PLCC-4",-40.317420,-30.353000,-90.000000,bottom
"LED8","BLUE","LED_PLCC-4",-40.317420,-17.970500,-90.000000,bottom
"LED9","WHITE","LED_PLCC-4",-40.317420,-5.588000,-90.000000,bottom
"PPW1","9mm_CtrDet_10k_DShaft","Pot_9mm_Dshaft_Det",-7.797800,-79.641700,0.000000,bottom
"PROTATE1","9mm_CtrDet_10k_DShaft","Pot_9mm_Dshaft_Det",-7.797800,-9.029700,0.000000,bottom
"PSHUFFLE1","9mm_CtrDet_10k_DShaft","Pot_9mm_Dshaft_Det",-7.797800,-44.335700,0.000000,bottom
"PSKIP1","9mm_CtrDet_10k_DShaft","Pot_9mm_Dshaft_Det",-7.797800,-61.988700,0.000000,bottom
"PSLIP1","9mm_CtrDet_10k_DShaft","Pot_9mm_Dshaft_Det",-7.797800,-26.682700,0.000000,bottom
